Year,Metric,Group,Subgroup,Order,Characteristic,Percent
2011,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,5,  6-17 years,2.7
2012,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,5,  6-17 years,2.3
2013,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,5,  6-17 years,2.2
2014,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,5,  6-17 years,1.7
2015,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,Under 18 years,5,  6-17 years,1.7
1997,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,18-64 years,6,18-64 years,10.7
1998,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,18-64 years,6,18-64 years,9.5
1999,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,18-64 years,6,18-64 years,9.2
2000,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,18-64 years,6,18-64 years,9.2
2001,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,18-64 years,6,18-64 years,9.5
2002,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,18-64 years,6,18-64 years,9.7
2003,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,18-64 years,6,18-64 years,10.6
2004,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,18-64 years,6,18-64 years,11.4
2005,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,18-64 years,6,18-64 years,11
2006,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,18-64 years,6,18-64 years,11.7
2007,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,18-64 years,6,18-64 years,11.8
2008,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,18-64 years,6,18-64 years,13.6
2009,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,18-64 years,6,18-64 years,15.1
2010,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,18-64 years,6,18-64 years,14.7
2011,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,18-64 years,6,18-64 years,14
2012,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,18-64 years,6,18-64 years,13.3
2013,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,18-64 years,6,18-64 years,12.4
2014,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,18-64 years,6,18-64 years,11.2
2015,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,18-64 years,6,18-64 years,9.8
1997,Nonreceipt of Needed Dental Care Due to Cost,Age,18-64 years,6,18-64 years,10.6
1998,Nonreceipt of Needed Dental Care Due to Cost,Age,18-64 years,6,18-64 years,9.2
1999,Nonreceipt of Needed Dental Care Due to Cost,Age,18-64 years,6,18-64 years,9.3
2000,Nonreceipt of Needed Dental Care Due to Cost,Age,18-64 years,6,18-64 years,9.7
2001,Nonreceipt of Needed Dental Care Due to Cost,Age,18-64 years,6,18-64 years,10.4
2002,Nonreceipt of Needed Dental Care Due to Cost,Age,18-64 years,6,18-64 years,10.4
2003,Nonreceipt of Needed Dental Care Due to Cost,Age,18-64 years,6,18-64 years,11.5
2004,Nonreceipt of Needed Dental Care Due to Cost,Age,18-64 years,6,18-64 years,13.2
2005,Nonreceipt of Needed Dental Care Due to Cost,Age,18-64 years,6,18-64 years,13
2006,Nonreceipt of Needed Dental Care Due to Cost,Age,18-64 years,6,18-64 years,13.6
2007,Nonreceipt of Needed Dental Care Due to Cost,Age,18-64 years,6,18-64 years,13
2008,Nonreceipt of Needed Dental Care Due to Cost,Age,18-64 years,6,18-64 years,15.9
2009,Nonreceipt of Needed Dental Care Due to Cost,Age,18-64 years,6,18-64 years,16.8
2010,Nonreceipt of Needed Dental Care Due to Cost,Age,18-64 years,6,18-64 years,17.3
2011,Nonreceipt of Needed Dental Care Due to Cost,Age,18-64 years,6,18-64 years,16.4
2012,Nonreceipt of Needed Dental Care Due to Cost,Age,18-64 years,6,18-64 years,14.8
2013,Nonreceipt of Needed Dental Care Due to Cost,Age,18-64 years,6,18-64 years,14.3
2014,Nonreceipt of Needed Dental Care Due to Cost,Age,18-64 years,6,18-64 years,12.6
2015,Nonreceipt of Needed Dental Care Due to Cost,Age,18-64 years,6,18-64 years,11.8
1997,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,18-64 years,6,18-64 years,6.3
1998,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,18-64 years,6,18-64 years,5.4
1999,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,18-64 years,6,18-64 years,5.6
2000,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,18-64 years,6,18-64 years,6.5
2001,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,18-64 years,6,18-64 years,7
2002,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,18-64 years,6,18-64 years,7.6
2003,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,18-64 years,6,18-64 years,8.1
2004,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,18-64 years,6,18-64 years,9.2
2005,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,18-64 years,6,18-64 years,9.4
2006,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,18-64 years,6,18-64 years,9.3
2007,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,18-64 years,6,18-64 years,9.6
2008,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,18-64 years,6,18-64 years,10.7
2009,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,18-64 years,6,18-64 years,11.2
2010,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,18-64 years,6,18-64 years,11.2
2011,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,18-64 years,6,18-64 years,10.5
2012,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,18-64 years,6,18-64 years,9.4
2013,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,18-64 years,6,18-64 years,8.8
2014,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,18-64 years,6,18-64 years,7.6
2015,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,18-64 years,6,18-64 years,6.9
1997,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,7,  18-44 years,11
1998,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,7,  18-44 years,9.8
1999,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,7,  18-44 years,9.4
2000,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,7,  18-44 years,9.5
2001,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,7,  18-44 years,9.8
2002,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,7,  18-44 years,9.9
2003,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,7,  18-44 years,10.8
2004,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,7,  18-44 years,11.4
2005,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,7,  18-44 years,11.3
2006,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,7,  18-44 years,11.7
2007,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,7,  18-44 years,12
2008,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,7,  18-44 years,13.6
2009,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,7,  18-44 years,15.1
2010,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,7,  18-44 years,14.5
2011,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,7,  18-44 years,13.6
2012,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,7,  18-44 years,12.7
2013,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,7,  18-44 years,11.9
2014,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,7,  18-44 years,10.7
2015,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,7,  18-44 years,9.5
1997,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,7,  18-44 years,11.7
1998,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,7,  18-44 years,9.9
1999,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,7,  18-44 years,10.2
2000,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,7,  18-44 years,10.7
2001,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,7,  18-44 years,11.3
2002,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,7,  18-44 years,11.5
2003,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,7,  18-44 years,12.3
2004,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,7,  18-44 years,14.5
2005,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,7,  18-44 years,14.1
2006,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,7,  18-44 years,14.2
2007,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,7,  18-44 years,14.2
2008,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,7,  18-44 years,16.6
2009,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,7,  18-44 years,18.2
2010,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,7,  18-44 years,17.9
2011,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,7,  18-44 years,16.7
2012,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,7,  18-44 years,15.4
2013,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,7,  18-44 years,14.2
2014,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,7,  18-44 years,12.2
2015,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,7,  18-44 years,11.6
1997,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,7,  18-44 years,6.9
1998,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,7,  18-44 years,5.7
1999,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,7,  18-44 years,5.6
2000,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,7,  18-44 years,6.9
2001,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,7,  18-44 years,7.2
2002,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,7,  18-44 years,7.7
2003,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,7,  18-44 years,8.4
2004,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,7,  18-44 years,9.4
2005,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,7,  18-44 years,9.8
2006,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,7,  18-44 years,9.6
2007,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,7,  18-44 years,10
2008,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,7,  18-44 years,10.9
2009,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,7,  18-44 years,11.7
2010,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,7,  18-44 years,11.2
2011,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,7,  18-44 years,10.3
2012,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,7,  18-44 years,9
2013,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,7,  18-44 years,8.2
2014,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,7,  18-44 years,7.1
2015,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,7,  18-44 years,6.2
1997,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,8,    18-24 years,10.2
1998,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,8,    18-24 years,9.6
1999,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,8,    18-24 years,9.6
2000,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,8,    18-24 years,10.4
2001,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,8,    18-24 years,10.2
2002,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,8,    18-24 years,9.6
2003,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,8,    18-24 years,10.7
2004,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,8,    18-24 years,11.4
2005,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,8,    18-24 years,11.3
2006,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,8,    18-24 years,11
2007,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,8,    18-24 years,11
2008,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,8,    18-24 years,12.5
2009,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,8,    18-24 years,13.8
2010,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,8,    18-24 years,13.5
2011,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,8,    18-24 years,11.8
2012,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,8,    18-24 years,10.4
2013,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,8,    18-24 years,10.1
2014,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,8,    18-24 years,8.2
2015,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,8,    18-24 years,7.5
1997,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,8,    18-24 years,11.6
1998,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,8,    18-24 years,9.8
1999,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,8,    18-24 years,11.4
2000,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,8,    18-24 years,11.7
2001,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,8,    18-24 years,11.7
2002,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,8,    18-24 years,11.7
2003,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,8,    18-24 years,11.8
2004,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,8,    18-24 years,14.8
2005,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,8,    18-24 years,13.7
2006,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,8,    18-24 years,14.1
2007,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,8,    18-24 years,13.2
2008,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,8,    18-24 years,13.4
2009,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,8,    18-24 years,16.3
2010,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,8,    18-24 years,17.4
2011,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,8,    18-24 years,13.3
2012,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,8,    18-24 years,13.1
2013,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,8,    18-24 years,11.4
2014,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,8,    18-24 years,9.2
2015,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,8,    18-24 years,9.4
1997,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,8,    18-24 years,6.7
1998,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,8,    18-24 years,5.9
1999,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,8,    18-24 years,5.7
2000,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,8,    18-24 years,7.7
2001,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,8,    18-24 years,7.6
2002,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,8,    18-24 years,7.5
2003,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,8,    18-24 years,7.8
2004,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,8,    18-24 years,9.3
2005,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,8,    18-24 years,9.6
2006,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,8,    18-24 years,9.9
2007,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,8,    18-24 years,9
2008,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,8,    18-24 years,9.4
2009,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,8,    18-24 years,9.8
2010,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,8,    18-24 years,9.7
2011,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,8,    18-24 years,7.6
2012,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,8,    18-24 years,7.1
2013,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,8,    18-24 years,7.2
2014,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,8,    18-24 years,5.9
2015,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  18-44 years,8,    18-24 years,4.5
1997,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,9,    25-34 years,11.4
1998,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,9,    25-34 years,10.6
1999,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,9,    25-34 years,10
2000,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,9,    25-34 years,9.4
2001,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,9,    25-34 years,9.9
2002,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,9,    25-34 years,10.1
2003,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,9,    25-34 years,11.4
2004,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,9,    25-34 years,11.8
2005,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,9,    25-34 years,11.8
2006,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,9,    25-34 years,13.1
2007,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,9,    25-34 years,12.8
2008,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,9,    25-34 years,15
2009,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,9,    25-34 years,16.1
2010,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,9,    25-34 years,15.3
2011,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,9,    25-34 years,15.1
2012,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,9,    25-34 years,13.7
2013,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,9,    25-34 years,13
2014,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,9,    25-34 years,12.3
2015,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  18-44 years,9,    25-34 years,10.3
1997,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,9,    25-34 years,12.3
1998,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,9,    25-34 years,11.3
1999,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,9,    25-34 years,10.4
2000,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,9,    25-34 years,10.8
2001,Nonreceipt of Needed Dental Care Due to Cost,Age,  18-44 years,9,    25-34 years,12.1
